name,fpSt,fpBd,tpSt,tpBd,longBd,shortBd,missing,gt,precSt,recallSt,f1St,precBd,recallBd,f1Bd
icc_binutils_64_O0_addr2line.newgt,1,1355,1356,2,0,1354,325,1681,99.93%,80.67%,89.27%,0.15%,0.12%,0.13%
icc_binutils_64_O0_ar.newgt,3,1420,1419,2,0,1417,344,1763,99.79%,80.49%,89.11%,0.14%,0.11%,0.13%
icc_binutils_64_O0_as-new.newgt,5,2003,2000,2,0,1998,430,2430,99.75%,82.30%,90.19%,0.10%,0.08%,0.09%
icc_binutils_64_O0_cxxfilt.newgt,1,1351,1352,2,0,1350,327,1679,99.93%,80.52%,89.18%,0.15%,0.12%,0.13%
icc_binutils_64_O0_elfedit.newgt,0,39,41,2,0,39,14,55,100.00%,74.55%,85.42%,4.88%,3.64%,4.17%
icc_binutils_64_O0_gprof.newgt,1,1441,1442,2,0,1440,332,1774,99.93%,81.29%,89.65%,0.14%,0.11%,0.12%
icc_binutils_64_O0_ld-new.newgt,2,1806,1806,2,0,1804,442,2248,99.89%,80.34%,89.05%,0.11%,0.09%,0.10%
icc_binutils_64_O0_nm-new.newgt,1,1379,1380,2,0,1378,333,1713,99.93%,80.56%,89.20%,0.14%,0.12%,0.13%
icc_binutils_64_O0_objcopy.newgt,3,1656,1655,2,0,1653,366,2021,99.82%,81.89%,89.97%,0.12%,0.10%,0.11%
icc_binutils_64_O0_objdump.newgt,2,1838,1838,2,0,1836,413,2251,99.89%,81.65%,89.86%,0.11%,0.09%,0.10%
icc_binutils_64_O0_ranlib.newgt,3,1420,1419,2,0,1417,344,1763,99.79%,80.49%,89.11%,0.14%,0.11%,0.13%
icc_binutils_64_O0_readelf.newgt,0,336,338,2,0,336,18,356,100.00%,94.94%,97.41%,0.59%,0.56%,0.58%
icc_binutils_64_O0_size.newgt,1,1365,1366,2,0,1364,328,1694,99.93%,80.64%,89.25%,0.15%,0.12%,0.13%
icc_binutils_64_O0_strings.newgt,2,1355,1355,2,0,1353,326,1681,99.85%,80.61%,89.20%,0.15%,0.12%,0.13%
icc_binutils_64_O0_strip-new.newgt,3,1656,1655,2,0,1653,366,2021,99.82%,81.89%,89.97%,0.12%,0.10%,0.11%
icc_binutils_64_O0_sysinfo.newgt,0,23,25,2,0,23,21,46,100.00%,54.35%,70.42%,8.00%,4.35%,5.63%
icc_binutils_64_O1_addr2line.newgt,6,757,753,2,0,751,694,1447,99.21%,52.04%,68.27%,0.26%,0.14%,0.18%
icc_binutils_64_O1_ar.newgt,5,808,805,2,0,803,715,1520,99.38%,52.96%,69.10%,0.25%,0.13%,0.17%
icc_binutils_64_O1_as-new.newgt,9,1252,1245,2,0,1243,841,2086,99.28%,59.68%,74.55%,0.16%,0.10%,0.12%
icc_binutils_64_O1_cxxfilt.newgt,6,750,746,2,0,744,699,1445,99.20%,51.63%,67.91%,0.27%,0.14%,0.18%
icc_binutils_64_O1_elfedit.newgt,4,40,38,2,0,36,18,56,90.48%,67.86%,77.55%,4.76%,3.57%,4.08%
icc_binutils_64_O1_gprof.newgt,7,828,823,2,0,821,692,1515,99.16%,54.32%,70.19%,0.24%,0.13%,0.17%
icc_binutils_64_O1_ld-new.newgt,8,1158,1152,2,0,1150,776,1928,99.31%,59.75%,74.61%,0.17%,0.10%,0.13%
icc_binutils_64_O1_nm-new.newgt,7,770,765,2,0,763,709,1474,99.09%,51.90%,68.12%,0.26%,0.14%,0.18%
icc_binutils_64_O1_objcopy.newgt,8,973,967,2,0,965,775,1742,99.18%,55.51%,71.18%,0.21%,0.11%,0.15%
icc_binutils_64_O1_objdump.newgt,9,1059,1052,2,0,1050,901,1953,99.15%,53.87%,69.81%,0.19%,0.10%,0.13%
icc_binutils_64_O1_ranlib.newgt,5,808,805,2,0,803,715,1520,99.38%,52.96%,69.10%,0.25%,0.13%,0.17%
icc_binutils_64_O1_readelf.newgt,5,187,184,2,0,182,58,242,97.35%,76.03%,85.38%,1.06%,0.83%,0.93%
icc_binutils_64_O1_size.newgt,6,766,762,2,0,760,697,1459,99.22%,52.23%,68.43%,0.26%,0.14%,0.18%
icc_binutils_64_O1_strings.newgt,7,752,747,2,0,745,701,1448,99.07%,51.59%,67.85%,0.27%,0.14%,0.18%
icc_binutils_64_O1_strip-new.newgt,8,973,967,2,0,965,775,1742,99.18%,55.51%,71.18%,0.21%,0.11%,0.15%
