short,long,missing
0x403a00,0x0,0x4017e0
0x404b50,0x0,0x401860
0x405630,0x0,0x4018a0
0x4064e0,0x0,0x4018c0
0x406770,0x0,0x4018f0
0x406810,0x0,0x4039f0
0x406ba0,0x0,0x4057f0
0x406e20,0x0,0x406740
0x406e30,0x0,0x406e00
0x406e90,0x0,0x406ee0
0x406ec0,0x0,0x408dc0
0x406f60,0x0,0x408eb0
0x407070,0x0,0x4093c0
0x408e80,0x0,0x4093d0
0x4090c0,0x0,0x4094c0
0x409390,0x0,0x409570
0x4094d0,0x0,0x4095b0
0x409700,0x0,0x4095c0
0x409ec0,0x0,0x4095d0
0x40a280,0x0,0x409610
0x40a920,0x0,0x409670
0x40aab0,0x0,0x409ef0
0x40aad0,0x0,0x409fa0
0x40ab90,0x0,0x40a130
0x40ac40,0x0,0x40a440
0x40ac60,0x0,0x40a600
0x40acd0,0x0,0x40a790
0x40ad40,0x0,0x40aaf0
0x40afa0,0x0,0x40ab40
0x40b010,0x0,0x40ab70
0x40b180,0x0,0x40abd0
0x40b210,0x0,0x40b140
0x40b250,0x0,0x40b150
0x40b5f0,0x0,0x40b160
0x40b720,0x0,0x40b170
0x40b8c0,0x0,0x40b1f0
0x40b8f0,0x0,0x40b200
0x40bc20,0x0,0x40bbd0
0x413a80,0x0,0x40bc60
0x413cb0,0x0,0x40d410
0x413f80,0x0,0x40e5f0
0x413fa0,0x0,0x410fc0
0x414330,0x0,0x413f60
0x4147f0,0x0,0x414fd0
0x414f20,0x0,0x414fe0
0x415070,0x0,0x0
